Geneid	EBF1-dTAG_N_0h_rep1	EBF1-dTAG_N_0h_rep2	EBF1-dTAG_N_0h_rep3	EBF1-dTAG_N_0h_rep4	EBF1-dTAG_N_6h_rep1	EBF1-dTAG_N_6h_rep2	EBF1-dTAG_N_6h_rep3	EBF1-dTAG_N_6h_rep4
ENSMUSG00000077794.1	0	0	0	0	0	0	0	0
ENSMUSG00000039748.11	2018	2176	2644	2507	2222	2262	2202	1998
ENSMUSG00000094820.1	5	9	2	5	5	8	0	1
ENSMUSG00000104158.2	0	5	5	6	0	0	0	0
ENSMUSG00000103540.1	0	0	0	0	0	0	0	0
ENSMUSG00000055214.15	0	0	0	0	0	0	0	0
ENSMUSG00000078184.1	5	6	14	5	12	3	2	8
ENSMUSG00000104363.1	0	0	0	0	0	0	0	0
ENSMUSG00000103277.1	0	0	0	0	0	0	0	0
ENSMUSG00000104157.1	0	0	0	0	0	0	0	0
ENSMUSG00000102446.1	0	0	0	0	0	0	0	0
ENSMUSG00000104248.1	0	0	0	0	0	0	0	0
ENSMUSG00000104021.1	0	0	0	0	0	0	0	0
ENSMUSG00000103471.1	0	0	0	0	0	0	0	0
ENSMUSG00000087875.1	0	0	0	0	0	0	0	0
ENSMUSG00000057335.11	3464	3394	4610	4609	5059	4841	4926	4697
ENSMUSG00000103634.1	20	25	46	31	42	32	11	43
ENSMUSG00000104154.1	40	40	65	72	49	51	60	66
ENSMUSG00000103435.1	1	0	0	0	0	0	2	0
ENSMUSG00000065573.1	6	2	2	12	13	14	5	8
ENSMUSG00000084749.1	0	0	0	0	0	0	0	0
ENSMUSG00000026504.17	281	317	463	415	370	446	424	387
ENSMUSG00000103367.1	0	2	3	9	3	8	6	15
ENSMUSG00000103584.1	0	0	0	0	0	0	0	0
ENSMUSG00000093132.1	4	2	12	12	4	6	7	2
ENSMUSG00000102475.1	13	9	10	7	21	8	6	23
ENSMUSG00000102211.1	5	11	14	8	16	11	3	19
ENSMUSG00000087082.1	0	0	0	0	0	0	0	0
ENSMUSG00000103251.1	32	22	57	51	36	57	39	50
ENSMUSG00000019699.15	2239	2461	2962	3009	3242	3491	3493	3126
ENSMUSG00000104391.1	48	81	77	95	51	79	57	116
ENSMUSG00000102133.1	22	37	53	50	44	36	29	42
ENSMUSG00000102749.1	20	25	31	51	34	44	27	48
ENSMUSG00000103163.1	46	30	36	40	28	20	18	34
ENSMUSG00000103646.1	161	79	116	135	118	123	88	169
ENSMUSG00000102427.1	75	53	57	93	84	98	56	85
ENSMUSG00000103633.1	0	0	4	1	2	5	0	6
ENSMUSG00000097892.2	12	7	15	12	10	4	4	8
ENSMUSG00000063659.11	3401	3346	4572	4278	3711	4061	3911	3671
ENSMUSG00000102432.1	0	0	0	0	0	0	0	2
ENSMUSG00000103043.1	9	0	7	6	17	24	13	24
ENSMUSG00000102885.1	0	0	0	0	0	0	0	0
ENSMUSG00000103767.1	0	0	0	0	0	0	0	0
ENSMUSG00000101746.1	0	0	0	0	0	0	0	1
ENSMUSG00000015962.5	0	0	0	0	0	1	0	0
ENSMUSG00000015961.8	3048	3072	3981	4016	3541	3365	3644	2961
ENSMUSG00000089657.1	0	0	0	0	1	0	0	0
ENSMUSG00000102483.1	0	0	0	0	0	0	0	0
ENSMUSG00000091476.6	0	0	0	0	0	0	0	0
ENSMUSG00000104097.1	0	0	0	0	0	0	0	0
ENSMUSG00000095731.1	0	0	0	0	0	0	0	0
ENSMUSG00000102493.1	0	0	0	0	0	0	0	0
ENSMUSG00000026502.13	1333	1313	1731	1692	1615	1696	1682	1616
ENSMUSG00000103958.1	0	0	2	2	0	0	0	0
ENSMUSG00000070489.5	0	0	0	0	0	0	0	0
ENSMUSG00000104126.1	19	11	8	11	15	23	14	15
ENSMUSG00000086350.1	39	39	72	77	65	89	58	85
ENSMUSG00000026500.6	116	117	146	107	129	183	161	128
ENSMUSG00000089788.1	778	816	1197	992	866	1082	838	1095
ENSMUSG00000100725.6	0	0	0	0	0	0	0	0
ENSMUSG00000039630.9	4899	4520	6365	6037	5296	6396	5537	5635
ENSMUSG00000104279.1	11	6	6	5	7	12	1	7
ENSMUSG00000099303.1	0	0	0	2	0	0	0	0
ENSMUSG00000064954.1	0	0	0	0	0	0	0	0
ENSMUSG00000026495.8	43	46	76	57	33	68	46	66
ENSMUSG00000026494.12	0	0	0	0	0	0	0	0
ENSMUSG00000064967.1	0	0	0	0	0	0	0	0
ENSMUSG00000102922.1	0	0	0	0	0	0	0	0
ENSMUSG00000089713.1	0	0	0	0	0	0	0	0
ENSMUSG00000055067.15	345	272	441	444	361	390	334	330
ENSMUSG00000096474.2	9	14	18	5	15	20	24	11
ENSMUSG00000026492.11	481	467	567	596	457	517	491	429
ENSMUSG00000082395.1	0	0	0	0	0	0	0	0
ENSMUSG00000038949.8	1084	1018	1364	1317	1306	1458	1281	1210
ENSMUSG00000038936.13	0	0	2	0	0	0	0	0
ENSMUSG00000087236.1	2	0	4	2	1	0	1	2
ENSMUSG00000026491.13	6351	5953	8290	7913	7105	7280	7219	6329
ENSMUSG00000073486.2	2	2	10	9	8	5	2	10
ENSMUSG00000104418.1	2	0	2	3	2	2	1	1
ENSMUSG00000026490.17	0	2	2	3	5	2	0	0
ENSMUSG00000102194.1	0	0	0	0	0	0	0	0
ENSMUSG00000103636.1	18	12	32	8	12	8	12	15
ENSMUSG00000026489.13	112	84	90	104	52	61	30	52
ENSMUSG00000104520.1	0	0	1	0	0	1	0	0
ENSMUSG00000010609.15	506	561	724	645	653	659	797	584
ENSMUSG00000102923.1	0	1	0	0	0	0	0	0
ENSMUSG00000055676.4	13	15	9	18	19	9	11	7
ENSMUSG00000038855.10	2314	2421	3377	3124	3424	3586	3579	3276
ENSMUSG00000104388.1	296	273	461	368	349	503	421	558
ENSMUSG00000103123.1	45	39	56	30	47	100	76	59
ENSMUSG00000103772.1	114	106	176	167	129	229	160	205
ENSMUSG00000053963.6	2	0	1	1	0	0	0	0
ENSMUSG00000104210.1	0	0	0	0	0	0	0	0
ENSMUSG00000102608.1	0	0	0	0	0	0	0	0
ENSMUSG00000026496.11	9985	10003	12809	12812	10463	10288	9897	8784
ENSMUSG00000098926.1	18	5	8	6	5	16	7	8
ENSMUSG00000058729.13	978	1086	1333	1426	1250	1185	1175	1151
ENSMUSG00000026497.7	0	0	0	0	0	0	0	0
ENSMUSG00000104202.1	0	0	0	0	0	0	0	0
ENSMUSG00000026499.5	1676	1747	2298	2208	1929	2128	1834	1842
ENSMUSG00000103649.1	0	0	0	0	0	0	0	4
ENSMUSG00000103156.1	4	6	23	2	26	14	12	4
ENSMUSG00000060743.12	6804	6973	8467	8550	8279	8176	8665	7184
ENSMUSG00000097347.1	1	0	1	0	3	0	0	0
ENSMUSG00000073485.3	57	50	77	52	54	63	62	49
ENSMUSG00000084558.1	0	0	0	0	0	0	0	0
ENSMUSG00000038806.7	1214	1195	1554	1380	1439	1461	1423	1305
ENSMUSG00000103979.1	2	0	0	0	0	5	4	0
ENSMUSG00000104251.1	0	0	0	0	0	0	0	0
ENSMUSG00000066652.5	0	0	0	0	0	0	0	0
ENSMUSG00000026520.8	2564	2661	3313	3224	1834	2048	2042	1700
ENSMUSG00000038793.8	0	0	2	0	0	0	0	4
ENSMUSG00000026519.16	612	590	899	738	744	841	870	693
ENSMUSG00000085563.2	0	0	0	0	0	0	0	0
ENSMUSG00000103930.1	0	0	0	0	0	0	0	0
ENSMUSG00000038776.13	868	809	933	961	600	622	623	499
ENSMUSG00000103516.1	0	0	0	0	0	0	0	0
ENSMUSG00000102858.1	0	0	0	0	0	0	0	0
ENSMUSG00000038768.8	0	0	0	0	0	0	0	0
ENSMUSG00000104390.1	0	0	0	0	0	0	0	4
ENSMUSG00000103328.1	0	0	0	0	0	0	0	0
ENSMUSG00000102219.1	1	0	0	0	0	0	0	0
ENSMUSG00000026516.8	2961	2868	4118	3828	3324	3769	3587	3322
ENSMUSG00000103178.1	0	0	0	1	0	0	0	0
ENSMUSG00000062169.13	801	792	1050	886	904	933	1025	937
ENSMUSG00000038733.13	5364	5343	6757	7134	8564	8464	8158	7498
ENSMUSG00000054135.2	31	29	71	22	31	54	53	35
ENSMUSG00000081214.3	20	14	35	25	28	15	8	17
ENSMUSG00000103260.1	24	7	26	14	18	20	25	9
ENSMUSG00000026514.13	0	0	0	0	0	0	0	0
ENSMUSG00000102276.1	0	0	0	0	0	0	0	0
ENSMUSG00000089888.1	0	0	0	0	0	0	0	0
ENSMUSG00000089927.1	0	0	0	0	0	0	0	0
ENSMUSG00000050625.4	0	0	0	0	0	0	0	0
ENSMUSG00000047369.15	0	1	0	0	0	0	0	1
ENSMUSG00000103100.1	0	0	0	0	0	0	0	0
ENSMUSG00000064970.1	10	5	16	14	10	14	29	22
ENSMUSG00000004880.11	12635	12669	16317	16215	19133	19577	19250	17224
ENSMUSG00000089429.1	14	3	5	7	23	16	3	11
ENSMUSG00000056699.7	14	9	21	12	18	14	27	27
ENSMUSG00000022995.16	7	5	3	6	7	1	6	12
ENSMUSG00000103722.1	0	0	0	0	0	1	0	0
ENSMUSG00000103317.1	0	0	0	0	0	0	0	0
ENSMUSG00000102950.1	0	0	0	0	0	0	0	0
ENSMUSG00000102760.1	0	0	0	0	0	0	0	0
ENSMUSG00000103379.1	0	0	0	0	0	0	0	0
ENSMUSG00000026511.7	882	992	1204	1117	1060	1192	1130	947
ENSMUSG00000103018.1	0	0	0	0	0	0	0	0
ENSMUSG00000091013.2	0	0	0	0	0	0	0	0
ENSMUSG00000038633.5	902	921	1154	1059	1150	1220	1235	1159
ENSMUSG00000100147.2	0	0	0	0	0	0	0	0
ENSMUSG00000047539.9	813	806	1091	984	972	1102	1211	1012
ENSMUSG00000097260.1	0	0	0	0	0	0	0	0
ENSMUSG00000073482.2	3	0	2	0	0	8	1	4
ENSMUSG00000026510.10	881	791	1098	997	1168	1172	1024	1029
ENSMUSG00000026509.15	2335	2489	2974	3094	3436	3549	3381	2954
ENSMUSG00000102234.1	1	0	1	3	1	6	1	2
ENSMUSG00000104415.1	0	0	0	0	0	1	0	0
ENSMUSG00000103878.1	0	0	0	0	0	0	0	0
ENSMUSG00000038599.14	0	0	0	0	0	0	0	0
ENSMUSG00000104376.1	0	0	0	0	0	0	0	0
ENSMUSG00000102688.1	0	0	0	0	0	0	0	0
ENSMUSG00000043429.7	0	0	0	0	0	0	0	0
ENSMUSG00000038576.15	0	0	0	0	0	0	0	0
ENSMUSG00000102291.1	0	0	0	0	0	0	0	0
ENSMUSG00000079164.8	0	0	0	0	0	0	0	0
ENSMUSG00000104367.1	0	0	0	0	0	0	0	0
ENSMUSG00000094807.2	0	0	0	0	0	0	0	0
ENSMUSG00000030768.12	245	178	286	301	326	350	323	314
ENSMUSG00000102478.1	75	58	65	62	74	77	50	75
ENSMUSG00000046836.13	1608	1702	2043	2058	2358	2345	2229	2152
ENSMUSG00000042901.10	1286	1300	1753	1660	1482	1399	1474	1295
ENSMUSG00000056050.12	1339	1367	1845	1817	1743	2096	1916	1637
ENSMUSG00000103415.1	0	0	2	0	0	0	0	0
ENSMUSG00000072258.10	201	203	361	304	250	290	269	282
ENSMUSG00000104212.1	1	3	4	13	15	8	8	5
ENSMUSG00000053461.9	3	0	1	6	0	2	2	4
ENSMUSG00000104022.1	0	0	0	0	0	0	0	2
ENSMUSG00000103451.1	0	0	0	0	0	0	0	0
ENSMUSG00000090533.2	0	0	0	0	0	0	0	0
ENSMUSG00000103305.1	0	0	0	0	0	0	0	0
ENSMUSG00000104007.1	0	0	0	0	0	0	0	0
ENSMUSG00000102743.1	0	0	0	0	0	0	0	0
ENSMUSG00000039384.8	190	150	230	224	177	263	184	185
ENSMUSG00000044854.7	13	1	7	8	6	2	1	1
ENSMUSG00000102682.5	0	0	0	0	0	0	0	0
ENSMUSG00000102794.1	0	0	0	0	0	0	0	0
ENSMUSG00000104419.1	0	0	0	0	0	0	0	0
ENSMUSG00000101574.1	0	0	0	0	0	0	0	0
ENSMUSG00000089057.1	0	0	0	0	0	0	0	0
ENSMUSG00000103308.5	0	0	0	0	0	0	0	0
ENSMUSG00000102606.1	1	2	3	3	2	1	1	1
ENSMUSG00000103314.1	0	0	0	0	0	0	0	0
ENSMUSG00000092578.1	0	0	0	0	0	0	0	0
ENSMUSG00000039377.7	134	129	190	197	157	143	171	138
ENSMUSG00000102158.1	0	2	2	1	2	2	7	6
ENSMUSG00000026621.13	2	5	12	3	1	3	2	6
ENSMUSG00000073481.9	1351	1330	1855	1756	1713	1809	1781	1564
ENSMUSG00000088559.1	0	0	0	0	0	0	0	0
ENSMUSG00000088562.2	0	0	0	0	0	0	0	0
ENSMUSG00000039349.5	0	0	0	0	0	0	0	0
ENSMUSG00000026620.11	1	0	0	0	0	0	0	1
ENSMUSG00000102784.1	0	0	0	0	0	0	0	0
ENSMUSG00000103942.1	0	0	0	0	0	0	0	0
ENSMUSG00000103478.1	0	0	0	0	0	0	0	0
ENSMUSG00000104461.1	0	0	0	0	0	0	0	0
ENSMUSG00000039318.12	1251	1262	1668	1511	1654	1661	1762	1516
ENSMUSG00000077571.1	0	0	0	0	0	0	1	0
ENSMUSG00000105770.1	0	0	0	0	0	0	0	0
ENSMUSG00000103613.1	0	0	2	1	0	0	0	0
ENSMUSG00000026618.11	2484	2700	3296	3372	3286	3461	3336	2962
ENSMUSG00000104368.1	0	0	0	0	0	0	0	0
ENSMUSG00000065581.1	0	0	0	0	0	0	0	0
ENSMUSG00000065562.1	0	0	0	0	0	0	0	0
ENSMUSG00000102526.1	1	7	2	4	0	3	3	3
ENSMUSG00000026617.15	401	347	554	435	432	474	494	394
ENSMUSG00000097261.2	0	9	2	13	4	6	4	7
ENSMUSG00000026615.14	6986	6695	9090	9026	8100	8364	8630	7544
ENSMUSG00000051295.7	0	0	0	0	0	0	0	0
ENSMUSG00000097615.1	0	0	0	0	0	0	0	0
ENSMUSG00000026614.6	0	0	0	0	0	0	0	0
ENSMUSG00000102185.1	0	0	0	0	0	0	0	0
ENSMUSG00000103799.1	0	0	0	0	0	0	0	0
ENSMUSG00000102546.1	0	0	0	2	1	0	0	1
ENSMUSG00000039246.8	0	0	0	0	0	0	0	0
ENSMUSG00000103056.1	0	0	0	0	0	0	0	0
ENSMUSG00000089363.1	0	0	0	0	0	0	0	0
ENSMUSG00000103449.1	0	0	0	0	0	0	0	0
ENSMUSG00000102790.1	0	0	0	0	0	0	0	0
ENSMUSG00000102217.1	0	0	0	0	0	0	0	0
ENSMUSG00000103690.1	0	0	0	0	0	0	0	0
ENSMUSG00000039239.14	7	9	9	20	12	11	9	16
ENSMUSG00000089045.1	0	0	0	0	0	0	0	0
ENSMUSG00000100393.1	0	0	0	0	0	0	0	0
ENSMUSG00000102619.1	11	29	23	20	11	8	19	21
ENSMUSG00000001305.5	642	618	812	826	689	736	721	632
ENSMUSG00000097784.1	9	4	32	3	12	27	18	13
ENSMUSG00000103503.1	0	0	0	0	0	0	0	0
ENSMUSG00000097935.1	0	1	0	0	0	0	0	1
ENSMUSG00000104312.1	0	0	0	0	0	0	0	0
ENSMUSG00000039224.1	0	0	0	0	0	0	0	0
ENSMUSG00000104424.1	0	0	0	0	0	0	0	0
ENSMUSG00000026611.17	0	1	4	3	3	0	5	3
ENSMUSG00000089831.1	0	0	0	0	0	0	0	0
ENSMUSG00000106839.1	0	0	0	0	0	0	0	0
ENSMUSG00000107163.1	0	0	0	2	1	0	0	3
ENSMUSG00000089947.1	0	0	0	4	0	0	0	0
ENSMUSG00000089730.2	0	0	0	0	0	0	0	0
ENSMUSG00000039210.16	581	608	847	839	804	875	791	780
ENSMUSG00000104394.2	168	136	283	202	184	292	205	246
ENSMUSG00000104245.1	0	0	0	0	0	0	0	0
ENSMUSG00000103923.1	0	0	0	0	0	0	0	0
ENSMUSG00000026610.13	0	0	0	0	0	0	0	0
ENSMUSG00000103961.1	0	0	0	0	0	0	0	0
ENSMUSG00000103401.1	0	0	0	0	0	0	0	0
ENSMUSG00000103577.1	0	0	0	0	0	0	0	0
ENSMUSG00000103732.1	0	0	0	0	0	0	0	0
ENSMUSG00000104482.1	0	0	0	0	0	0	0	0
ENSMUSG00000026609.15	0	0	0	0	0	0	0	0
ENSMUSG00000077235.1	0	0	0	0	0	0	0	0
ENSMUSG00000084550.1	0	0	0	0	0	0	0	0
ENSMUSG00000026608.12	886	911	1187	1157	1096	1170	1092	1083
ENSMUSG00000103370.1	0	0	0	0	0	0	0	0
ENSMUSG00000104464.1	0	0	0	0	0	0	0	0
ENSMUSG00000037624.15	0	0	0	0	0	0	0	0
ENSMUSG00000103669.1	0	0	0	0	0	0	0	0
ENSMUSG00000102824.1	4	4	10	5	6	3	1	5
ENSMUSG00000104507.1	0	0	0	0	0	0	0	0
ENSMUSG00000093791.1	0	0	0	0	0	0	0	0
ENSMUSG00000103087.1	19	7	12	11	9	7	5	11
ENSMUSG00000026605.14	3837	4171	5608	5282	4010	5619	5536	4822
ENSMUSG00000103374.1	0	0	0	0	0	0	0	0
ENSMUSG00000026604.17	0	0	0	0	0	7	0	0
ENSMUSG00000102248.1	0	0	0	0	0	0	0	0
ENSMUSG00000097925.1	0	0	0	0	0	0	0	0
ENSMUSG00000104435.1	1	1	1	1	0	1	0	0
ENSMUSG00000026603.13	766	724	1028	750	765	831	787	673
ENSMUSG00000103467.1	60	50	141	85	60	59	47	79
ENSMUSG00000010175.13	0	0	0	0	0	0	0	0
ENSMUSG00000099404.1	0	0	0	0	0	0	0	0
ENSMUSG00000079045.3	0	0	0	0	0	0	0	0
ENSMUSG00000103644.1	0	0	0	0	0	0	0	0
ENSMUSG00000103510.1	0	0	0	0	0	0	0	0
ENSMUSG00000093064.2	0	0	0	0	1	0	0	0
ENSMUSG00000106474.1	0	0	0	0	0	0	0	0
ENSMUSG00000103963.1	0	0	0	0	0	0	0	0
ENSMUSG00000089872.10	0	0	0	0	0	3	0	0
ENSMUSG00000026634.16	1613	1826	2304	2091	2321	2470	2556	2281
ENSMUSG00000037568.12	0	0	0	0	0	0	0	0
ENSMUSG00000104487.1	0	0	0	0	0	0	0	0
ENSMUSG00000103723.1	0	1	0	0	0	0	0	0
ENSMUSG00000103964.1	1	7	0	5	6	2	0	0
ENSMUSG00000066595.9	1314	1175	1653	1504	1505	1487	1600	1426
ENSMUSG00000097845.2	2	4	10	2	3	1	0	2
ENSMUSG00000057072.11	0	0	0	0	0	0	0	0
ENSMUSG00000026632.17	82	84	80	105	86	91	93	80
ENSMUSG00000062510.12	983	1044	1573	1424	1232	1485	1261	1153
ENSMUSG00000103576.1	1	0	0	0	0	0	0	0
ENSMUSG00000026630.9	0	0	0	2	0	0	4	0
ENSMUSG00000102777.1	0	0	0	0	0	0	0	0
ENSMUSG00000091017.1	0	0	0	0	0	0	0	0
ENSMUSG00000026628.13	22	15	25	43	68	53	88	79
ENSMUSG00000088461.1	0	0	0	0	0	0	0	0
ENSMUSG00000073478.6	21	24	64	63	58	88	64	49
ENSMUSG00000103685.1	5	5	9	8	2	11	8	2
ENSMUSG00000103174.1	0	0	0	0	0	0	4	0
ENSMUSG00000037499.9	0	0	0	0	0	0	0	0
ENSMUSG00000026627.7	620	538	694	657	737	753	718	618
ENSMUSG00000026626.11	5474	5479	7071	6676	6176	6639	6564	5356
ENSMUSG00000103433.1	0	0	0	0	0	2	0	0
ENSMUSG00000103114.1	7	7	0	1	0	0	0	0
ENSMUSG00000104341.1	0	0	0	0	0	0	0	0
ENSMUSG00000103517.1	0	0	0	0	0	0	0	0
ENSMUSG00000102246.1	51	22	55	62	27	37	33	51
ENSMUSG00000037474.13	4101	3646	5139	4877	4018	3830	3751	3417
ENSMUSG00000037461.10	4444	4350	5225	5774	5349	5361	5259	4802
ENSMUSG00000102970.1	31	28	39	19	20	22	28	25
ENSMUSG00000026623.16	3572	3492	4566	4445	4895	4856	5055	4538
ENSMUSG00000095504.1	0	0	0	0	0	0	0	0
ENSMUSG00000064845.1	0	0	0	0	0	0	0	0
ENSMUSG00000102596.1	1	0	0	0	0	1	1	0
ENSMUSG00000102840.1	29	20	26	12	35	25	36	23
ENSMUSG00000026622.15	1772	1878	2428	2213	2075	2512	2654	2197
ENSMUSG00000055833.14	2	1	13	3	3	15	11	7
ENSMUSG00000037434.7	274	308	332	358	425	406	512	499
ENSMUSG00000049353.17	0	4	2	3	1	8	4	7
ENSMUSG00000097416.2	10	5	11	7	16	13	7	2
ENSMUSG00000102915.1	0	0	0	0	0	0	0	0
ENSMUSG00000026637.13	437	405	620	562	668	771	638	603
ENSMUSG00000093003.1	0	0	0	0	0	0	3	1
ENSMUSG00000103653.1	12	27	22	12	27	20	15	19
ENSMUSG00000097089.2	0	1	2	0	1	0	0	0
ENSMUSG00000037395.15	514	531	801	723	657	886	721	848
ENSMUSG00000102755.1	0	0	0	0	0	0	0	0
ENSMUSG00000097316.2	9	4	9	10	6	6	3	8
ENSMUSG00000058248.12	0	0	0	0	0	0	0	0
ENSMUSG00000037375.16	3	0	1	3	0	0	2	3
ENSMUSG00000094131.1	2	0	0	6	2	0	4	1
ENSMUSG00000103874.1	0	0	0	0	0	0	0	0
ENSMUSG00000047384.3	0	0	0	7	0	0	0	0
ENSMUSG00000100872.2	0	0	0	0	0	0	0	0
ENSMUSG00000016262.14	178	189	313	214	94	98	78	74
ENSMUSG00000089812.2	1	2	0	0	0	0	0	0
ENSMUSG00000102162.1	0	2	1	3	1	0	0	3
ENSMUSG00000016200.13	0	1	0	0	0	0	0	1
ENSMUSG00000089158.1	0	0	0	0	0	0	0	0
ENSMUSG00000103640.1	0	0	0	0	0	0	0	0
ENSMUSG00000102442.1	0	0	0	0	0	0	0	0
ENSMUSG00000016181.9	1033	1009	1519	1422	1184	1272	1222	1277
ENSMUSG00000026638.15	2	0	7	0	0	0	0	0
ENSMUSG00000079144.7	226	215	345	309	245	287	314	260
ENSMUSG00000037318.10	2207	2202	3033	2832	2915	3507	3306	3159
ENSMUSG00000090080.2	0	0	0	0	0	0	0	0
ENSMUSG00000089683.2	59	65	86	102	107	139	153	139
ENSMUSG00000026639.18	1527	1297	1905	1771	2367	2539	2390	2272
ENSMUSG00000016194.14	32	45	29	40	96	104	63	90
ENSMUSG00000103089.1	7	11	12	10	20	18	30	23
ENSMUSG00000009633.3	0	0	0	0	0	1	0	0
ENSMUSG00000104348.1	900	848	1141	1165	1520	1525	1608	1565
ENSMUSG00000103736.1	0	0	0	0	0	0	0	0
ENSMUSG00000016179.11	120	126	132	125	228	258	174	187
ENSMUSG00000103895.1	0	0	0	1	0	0	0	1
ENSMUSG00000102648.1	2	0	3	0	0	0	2	0
ENSMUSG00000102981.1	0	0	0	0	0	0	0	0
ENSMUSG00000097850.2	0	0	0	0	0	0	0	0
ENSMUSG00000065533.1	0	0	0	0	0	0	0	0
ENSMUSG00000104182.1	0	0	0	0	0	0	0	0
ENSMUSG00000103692.1	0	0	0	0	0	0	0	0
ENSMUSG00000026640.12	1773	1731	2507	2380	1196	1270	1290	1194
ENSMUSG00000102523.1	61	47	72	60	23	32	19	40
ENSMUSG00000102621.1	26	36	40	19	24	14	31	19
ENSMUSG00000102841.1	40	33	69	59	35	47	39	59
ENSMUSG00000103776.1	11	4	5	6	2	11	0	3
ENSMUSG00000103597.1	0	0	0	0	0	0	0	0
ENSMUSG00000092633.1	1	0	0	0	0	0	0	0
ENSMUSG00000084631.1	0	0	0	0	0	0	0	0
ENSMUSG00000016494.9	0	0	0	0	0	0	0	0
ENSMUSG00000097325.2	7	0	1	0	7	0	2	2
ENSMUSG00000096929.7	225	215	391	338	346	570	408	536
ENSMUSG00000104206.1	1	0	0	0	0	0	3	0
ENSMUSG00000104525.1	77	85	148	125	133	191	159	197
ENSMUSG00000103867.1	72	50	130	93	96	109	73	132
ENSMUSG00000104077.1	0	1	0	0	0	2	8	4
ENSMUSG00000016493.13	316	300	460	407	325	432	336	455
ENSMUSG00000065412.3	0	0	0	0	0	0	0	0
ENSMUSG00000065548.1	0	0	0	0	0	0	0	0
ENSMUSG00000104010.1	12	7	16	13	16	21	8	9
ENSMUSG00000103443.1	43	59	85	93	48	87	60	83
ENSMUSG00000016481.15	1952	1881	2598	2455	2279	2573	2421	2307
ENSMUSG00000026616.14	37	34	47	45	53	71	55	59
ENSMUSG00000102236.1	0	0	0	0	0	0	0	0
ENSMUSG00000093823.1	0	0	0	0	0	0	0	0
ENSMUSG00000099208.1	0	0	0	0	0	0	0	0
ENSMUSG00000104297.1	0	0	0	0	0	0	0	0
ENSMUSG00000102307.1	0	0	0	0	0	0	0	2
ENSMUSG00000103120.1	0	0	0	0	0	0	0	0
ENSMUSG00000099154.1	0	0	0	0	0	0	0	0
ENSMUSG00000050530.14	0	0	0	0	0	0	0	0
ENSMUSG00000026643.16	1741	1704	2317	2190	2376	2348	2246	2134
ENSMUSG00000075837.1	0	0	0	0	0	0	0	0
ENSMUSG00000049950.6	118	124	153	130	144	116	155	154
ENSMUSG00000026644.6	0	0	0	0	0	0	0	0
ENSMUSG00000026645.11	0	3	0	0	0	0	0	1
ENSMUSG00000103786.1	0	0	0	0	0	0	0	0
ENSMUSG00000026650.15	3	0	0	0	0	1	0	0
ENSMUSG00000026648.18	468	419	637	590	526	650	632	615
ENSMUSG00000026646.16	544	474	789	735	612	731	629	582
ENSMUSG00000085043.1	2	4	6	3	5	3	2	14
ENSMUSG00000051396.14	2563	2478	3478	3163	2914	2991	2916	2749
ENSMUSG00000039496.8	3	9	2	6	16	8	11	8
ENSMUSG00000081278.1	0	0	0	0	0	0	0	2
ENSMUSG00000082580.3	0	2	0	0	0	0	1	0
ENSMUSG00000026655.14	4839	4587	6159	5868	8650	8904	8753	7781
ENSMUSG00000080703.2	0	0	0	0	0	0	0	0
ENSMUSG00000081070.1	4	3	6	6	5	0	1	3
ENSMUSG00000085205.1	0	0	0	0	0	0	0	0
ENSMUSG00000085656.1	0	0	0	0	1	1	0	0
ENSMUSG00000086445.1	0	0	0	0	0	0	0	0
ENSMUSG00000026657.16	471	447	607	630	504	556	583	508
ENSMUSG00000086458.1	0	0	0	0	0	0	0	0
ENSMUSG00000081889.1	0	0	0	0	0	0	0	0
ENSMUSG00000104284.1	0	0	0	0	0	0	0	0
ENSMUSG00000102517.1	0	0	0	0	0	0	0	0
ENSMUSG00000084859.7	0	0	0	0	0	0	0	0
ENSMUSG00000086921.1	0	0	0	0	0	0	0	0
ENSMUSG00000102816.1	0	0	0	0	0	0	0	0
ENSMUSG00000102136.1	0	0	0	0	0	0	0	0
ENSMUSG00000102357.1	0	0	0	0	0	0	0	0
ENSMUSG00000087355.7	0	0	0	0	0	0	0	0
ENSMUSG00000102494.1	0	0	0	0	0	0	0	0
ENSMUSG00000075826.1	0	0	0	0	0	0	0	0
ENSMUSG00000086874.1	0	0	0	0	0	0	0	0
ENSMUSG00000086018.7	0	1	4	0	0	0	0	1
ENSMUSG00000039449.14	1440	1387	1886	1880	1704	1918	1770	1547
ENSMUSG00000083378.3	2	0	0	0	0	1	2	0
ENSMUSG00000048186.14	0	0	0	0	0	0	0	0
ENSMUSG00000083407.1	0	0	0	3	0	0	3	0
ENSMUSG00000026662.13	2875	2851	3517	3564	3488	3620	3637	3172
ENSMUSG00000026664.7	485	534	665	620	823	827	824	759
ENSMUSG00000086670.1	2	3	9	4	2	11	5	10
ENSMUSG00000082795.1	0	0	0	0	0	0	0	0
ENSMUSG00000069188.5	11	10	18	21	14	18	13	12
ENSMUSG00000026668.10	0	0	1	0	0	0	0	0
ENSMUSG00000026669.14	3056	2992	3922	3825	3119	3120	3205	2956
ENSMUSG00000026672.11	57	60	85	79	113	156	154	158
ENSMUSG00000086430.1	0	0	0	0	0	0	0	0
ENSMUSG00000097770.1	0	0	0	0	0	0	0	0
